Address,Status Code,Indexability,Word Count,Unique Inlinks,Last Modified,Title 1,H1-1,Content Type
https://example.com/compare/email-marketing-0,200,Indexable,80,0,2026-02-04,Email Marketing 0,Email Marketing,text/html; charset=UTF-8
https://example.com/products/running-shoes-1,200,Indexable,80,2,2025-08-08,Running Shoes 1,Running Shoes,text/html; charset=UTF-8
https://example.com/blog/web-hosting-2,200,Indexable,600,0,2023-02-20,Web Hosting 2,Web Hosting,text/html; charset=UTF-8
https://example.com/compare/credit-cards-3,200,Indexable,2400,0,2026-02-04,Credit Cards 3,Credit Cards,text/html; charset=UTF-8
https://example.com/products/email-marketing-4,200,Indexable,600,0,2024-03-26,Email Marketing 4,Email Marketing,text/html; charset=UTF-8
https://example.com/resources/meal-prep-5,200,Indexable,1200,30,2026-05-05,Meal Prep 5,Meal Prep,text/html; charset=UTF-8
https://example.com/compare/solar-panels-6,200,Indexable,600,30,2025-08-08,Solar Panels 6,Solar Panels,text/html; charset=UTF-8
https://example.com/guides/tax-filing-7,200,Indexable,600,2,2024-03-26,Tax Filing 7,Tax Filing,text/html; charset=UTF-8
https://example.com/guides/meal-prep-8-2023,200,Indexable,220,2,2024-03-26,Meal Prep 8,Meal Prep,text/html; charset=UTF-8
https://example.com/blog/vpn-9-2023,200,Indexable,80,2,2026-02-04,Vpn 9,Vpn,text/html; charset=UTF-8
https://example.com/help/web-hosting-10,200,Indexable,80,0,2023-02-20,Web Hosting 10,Web Hosting,text/html; charset=UTF-8
https://example.com/news/tax-filing-11-2024,200,Indexable,2400,0,2025-04-30,Tax Filing 11,Tax Filing,text/html; charset=UTF-8
https://example.com/guides/web-hosting-12,200,Indexable,2400,8,2026-05-05,Web Hosting 12,Web Hosting,text/html; charset=UTF-8
https://example.com/resources/meal-prep-13-2023,200,Indexable,2400,0,2024-03-26,Meal Prep 13,Meal Prep,text/html; charset=UTF-8
https://example.com/news/vpn-14-2023,200,Indexable,600,8,2025-08-08,Vpn 14,Vpn,text/html; charset=UTF-8
https://example.com/guides/solar-panels-15,200,Indexable,600,30,2025-08-08,Solar Panels 15,Solar Panels,text/html; charset=UTF-8
https://example.com/blog/tax-filing-16,200,Indexable,220,2,2026-05-05,Tax Filing 16,Tax Filing,text/html; charset=UTF-8
https://example.com/blog/yoga-17,200,Indexable,80,0,2025-08-08,Yoga 17,Yoga,text/html; charset=UTF-8
